DIP:853E	DIP:764N		SWP:P35191	PIR:S38898	GI:481583	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:854E	DIP:940N		SWP:P36517	PIR:S59407	GI:1363859	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:855E	DIP:808N		SWP:P08964	PIR:S46773	GI:630046	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:856E	DIP:846N		SWP:P40064	PIR:S50608	GI:1077690	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:857E	DIP:1000N		SWP:P12689	PIR:S67255	GI:2133088	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:858E	DIP:597N		SWP:P22579	PIR:RGBYS3	GI:2144973	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:859E	DIP:1032N		SWP:P09547	PIR:TNBYR6	GI:73244	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:860E	DIP:757N		SWP:P33315	PIR:S37809	GI:481127	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:861E	DIP:850N		SWP:P32639	PIR:S50675	GI:1077724	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:862E	DIP:696N		SWP:P14922	PIR:S25365	GI:283218	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:863E	DIP:69N		SWP:P21560	PIR:A34290	GI:101235	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:864E	DIP:727N		SWP:P32828	PIR:S30780	GI:320687	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:865E	DIP:850N		SWP:P32639	PIR:S50675	GI:1077724	DIP:910N		SWP:Q02554	PIR:S56054	GI:1084769
DIP:866E	DIP:1032N		SWP:P09547	PIR:TNBYR6	GI:73244	DIP:910N		SWP:Q02554	PIR:S56054	GI:1084769
DIP:867E	DIP:930N		SWP:Q99181	PIR:S58329	GI:2131290	DIP:910N		SWP:Q02554	PIR:S56054	GI:1084769
DIP:868E	DIP:990N		SWP:P39102	PIR:S64924	GI:2133208	DIP:910N		SWP:Q02554	PIR:S56054	GI:1084769
DIP:869E	DIP:665N		SWP:P27705	PIR:S17248	GI:101546	DIP:910N		SWP:Q02554	PIR:S56054	GI:1084769
DIP:870E	DIP:696N		SWP:P14922	PIR:S25365	GI:283218	DIP:910N		SWP:Q02554	PIR:S56054	GI:1084769
DIP:871E	DIP:984N		SWP:P53236	PIR:S64350	GI:2131658	DIP:930N		SWP:Q99181	PIR:S58329	GI:2131290
DIP:872E	DIP:828N		SWP:P38892	PIR:S48990	GI:626707	DIP:930N		SWP:Q99181	PIR:S58329	GI:2131290
DIP:873E	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482	DIP:930N		SWP:Q99181	PIR:S58329	GI:2131290
DIP:874E	DIP:794N		SWP:P38203	PIR:S45760	GI:6319445	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:875E	DIP:883N		SWP:P25644	PIR:S53590	GI:1084614	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:876E	DIP:944N		SWP:P39081	PIR:S59435	GI:6320434	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:877E	DIP:842N		SWP:P39998	PIR:S50444	GI:1077596	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:878E	DIP:980N		SWP:P53147	PIR:S64103	GI:2131583	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
